age,sex,province,education
52,Female,Quebec,High school diploma
51,Male,Manitoba,Associate degree
63,Female,Ontario,Bachelor's degree
80,Female,Alberta,High school diploma
28,Male,Quebec,Associate degree
63,Female,Quebec,High school diploma
58,Female,Nova Scotia,No high school diploma
80,Female,Quebec,No high school diploma
63,Female,British Columbia,High school diploma
25,Male,Saskatchewan,No high school diploma
15,Male,British Columbia,No high school diploma
40,Female,Manitoba,Associate degree
56,Female,Prince Edward Island,High school diploma
26,Female,Quebec,Associate degree
66,Female,Quebec,High school diploma
30,Female,British Columbia,Bachelor's degree
68,Male,Ontario,High school diploma
33,Female,British Columbia,Bachelor's degree
73,Male,Quebec,Bachelor's degree
39,Male,New Brunswick,Bachelor's degree
64,Male,Ontario,Master's degree
25,Male,Manitoba,Associate degree
49,Male,British Columbia,Bachelor's degree
16,Male,Saskatchewan,No high school diploma
63,Female,Quebec,Associate degree
78,Male,Ontario,Bachelor's degree
30,Female,Ontario,Master's degree
19,Female,Saskatchewan,No high school diploma
40,Female,Quebec,Bachelor's degree
43,Male,Alberta,High school diploma
40,Female,Quebec,Bachelor's degree
80,Male,Manitoba,No high school diploma
16,Male,Alberta,No high school diploma
80,Female,Quebec,High school diploma
71,Male,Ontario,Associate degree
71,Male,Newfoundland and Labrador,No high school diploma
29,Male,British Columbia,Bachelor's degree
74,Female,Ontario,Master's degree
18,Male,Alberta,No high school diploma
54,Male,Ontario,High school diploma
80,Male,British Columbia,No high school diploma
37,Female,Quebec,Associate degree
27,Female,Nova Scotia,Associate degree
68,Male,Quebec,Bachelor's degree
53,Female,Prince Edward Island,No high school diploma
63,Male,British Columbia,High school diploma
34,Male,Prince Edward Island,Bachelor's degree
36,Male,Quebec,Associate degree
80,Female,Nova Scotia,No high school diploma
69,Male,Ontario,No high school diploma
26,Female,British Columbia,High school diploma
60,Male,Ontario,Master's degree
51,Female,Ontario,High school diploma
61,Male,Ontario,Bachelor's degree
47,Female,Prince Edward Island,Master's degree
46,Male,Ontario,Associate degree
53,Female,Ontario,High school diploma
68,Female,Newfoundland and Labrador,No high school diploma
45,Male,Nova Scotia,Associate degree
51,Male,New Brunswick,Bachelor's degree
70,Female,Quebec,No high school diploma
60,Female,Quebec,Associate degree
53,Female,Alberta,Associate degree
34,Female,Ontario,Bachelor's degree
72,Female,Nova Scotia,High school diploma
80,Female,Alberta,No high school diploma
65,Female,Nova Scotia,High school diploma
61,Female,Ontario,Associate degree
37,Female,Manitoba,Associate degree
58,Male,Quebec,High school diploma
80,Male,British Columbia,High school diploma
42,Female,Ontario,Associate degree
44,Male,Ontario,High school diploma
26,Female,British Columbia,High school diploma
24,Female,New Brunswick,High school diploma
41,Male,Quebec,Associate degree
26,Female,Quebec,Bachelor's degree
31,Female,Quebec,Bachelor's degree
57,Female,Ontario,Bachelor's degree
15,Female,Ontario,No high school diploma
16,Female,Quebec,No high school diploma
41,Male,British Columbia,Bachelor's degree
24,Female,Manitoba,No high school diploma
54,Male,Ontario,Bachelor's degree
17,Male,Quebec,No high school diploma
63,Female,Ontario,Master's degree
57,Female,Ontario,High school diploma
74,Female,Newfoundland and Labrador,No high school diploma
41,Male,Nova Scotia,High school diploma
59,Male,Newfoundland and Labrador,No high school diploma
80,Female,Ontario,Master's degree
53,Male,Newfoundland and Labrador,Bachelor's degree
35,Male,Ontario,Bachelor's degree
80,Male,Ontario,Associate degree
73,Female,Manitoba,Associate degree
80,Male,British Columbia,Bachelor's degree
72,Female,British Columbia,Associate degree
56,Female,New Brunswick,Associate degree
64,Female,Ontario,Associate degree
29,Male,Ontario,Master's degree
71,Male,Alberta,Associate degree
33,Female,Prince Edward Island,High school diploma
25,Male,Quebec,Associate degree
63,Male,British Columbia,Master's degree
79,Male,Quebec,No high school diploma
57,Female,Ontario,High school diploma
45,Female,Newfoundland and Labrador,Bachelor's degree
55,Male,Ontario,Master's degree
24,Female,Saskatchewan,Associate degree
47,Male,Nova Scotia,Bachelor's degree
41,Female,Ontario,Master's degree
64,Female,Nova Scotia,High school diploma
80,Female,Alberta,No high school diploma
29,Female,British Columbia,Associate degree
79,Male,Newfoundland and Labrador,No high school diploma
59,Male,Alberta,Associate degree
47,Male,Saskatchewan,Associate degree
35,Female,Alberta,High school diploma
22,Male,Alberta,Bachelor's degree
53,Female,Saskatchewan,High school diploma
51,Female,Nova Scotia,Bachelor's degree
45,Male,Ontario,Bachelor's degree
72,Female,Ontario,Master's degree
73,Female,New Brunswick,No high school diploma
70,Male,British Columbia,Associate degree
63,Male,Ontario,High school diploma
46,Male,Quebec,No high school diploma
58,Female,Ontario,Associate degree
36,Female,Ontario,Associate degree
60,Female,Alberta,Associate degree
66,Male,Manitoba,No high school diploma
78,Male,Ontario,No high school diploma
33,Male,Quebec,Bachelor's degree
76,Female,Ontario,Bachelor's degree
74,Female,New Brunswick,Associate degree
70,Female,British Columbia,No high school diploma
27,Male,Quebec,Associate degree
80,Male,Quebec,No high school diploma
39,Male,Prince Edward Island,Associate degree
30,Male,Ontario,Associate degree
69,Male,Ontario,Master's degree
56,Female,Ontario,Bachelor's degree
76,Female,Ontario,No high school diploma
30,Male,Prince Edward Island,Bachelor's degree
80,Male,Ontario,Bachelor's degree
33,Female,Ontario,Associate degree
63,Female,Newfoundland and Labrador,Associate degree
57,Female,Ontario,Bachelor's degree
41,Female,British Columbia,Master's degree
18,Female,Ontario,No high school diploma
40,Male,Ontario,Bachelor's degree
48,Female,Saskatchewan,Bachelor's degree
65,Female,Ontario,High school diploma
29,Male,Prince Edward Island,Associate degree
33,Male,Alberta,High school diploma
25,Female,British Columbia,High school diploma
39,Female,British Columbia,Associate degree
69,Female,Quebec,High school diploma
67,Female,Saskatchewan,High school diploma
31,Female,Quebec,Associate degree
61,Female,Ontario,Associate degree
65,Female,Ontario,Master's degree
59,Male,New Brunswick,Bachelor's degree
63,Female,Alberta,Bachelor's degree
43,Male,Ontario,Master's degree
51,Female,New Brunswick,Associate degree
52,Female,New Brunswick,High school diploma
40,Female,Quebec,Bachelor's degree
76,Female,Newfoundland and Labrador,No high school diploma
16,Female,Alberta,No high school diploma
62,Male,Newfoundland and Labrador,Associate degree
57,Male,Alberta,High school diploma
80,Male,Ontario,High school diploma
69,Male,British Columbia,Associate degree
64,Female,Nova Scotia,High school diploma
70,Male,Ontario,High school diploma
73,Female,Nova Scotia,No high school diploma
80,Male,Ontario,No high school diploma
67,Female,Saskatchewan,High school diploma
61,Female,Ontario,High school diploma
67,Male,Ontario,High school diploma
47,Male,Nova Scotia,Bachelor's degree
52,Female,Ontario,Bachelor's degree
20,Female,Manitoba,High school diploma
31,Female,Quebec,Bachelor's degree
78,Male,Ontario,High school diploma
24,Female,Ontario,Associate degree
50,Female,Quebec,Associate degree
63,Male,Ontario,Associate degree
62,Female,Quebec,Master's degree
36,Female,Alberta,Associate degree
63,Male,Ontario,No high school diploma
68,Female,Newfoundland and Labrador,High school diploma
53,Male,Newfoundland and Labrador,Master's degree
51,Male,Quebec,Bachelor's degree
68,Male,Ontario,High school diploma
57,Female,Saskatchewan,Bachelor's degree
51,Male,British Columbia,Bachelor's degree
34,Male,British Columbia,No high school diploma
68,Male,Ontario,Bachelor's degree
61,Female,Prince Edward Island,Bachelor's degree
24,Female,Quebec,Bachelor's degree
71,Female,Prince Edward Island,No high school diploma
68,Male,Quebec,High school diploma
59,Male,British Columbia,Bachelor's degree
41,Female,New Brunswick,Associate degree
66,Female,Alberta,Associate degree
56,Female,Quebec,Bachelor's degree
69,Male,British Columbia,High school diploma
76,Male,British Columbia,Master's degree
53,Female,Ontario,High school diploma
76,Female,Prince Edward Island,No high school diploma
33,Female,Ontario,Bachelor's degree
30,Female,Saskatchewan,Associate degree
53,Female,British Columbia,Associate degree
53,Male,Ontario,Associate degree
70,Male,Ontario,Associate degree
65,Male,Quebec,No high school diploma
72,Female,Quebec,No high school diploma
37,Female,Prince Edward Island,Bachelor's degree
31,Male,Quebec,Associate degree
53,Female,Alberta,Associate degree
80,Male,Ontario,No high school diploma
61,Female,British Columbia,Bachelor's degree
45,Female,Newfoundland and Labrador,Master's degree
52,Male,Ontario,High school diploma
32,Female,British Columbia,Bachelor's degree
66,Female,Quebec,No high school diploma
65,Male,British Columbia,Master's degree
63,Female,British Columbia,Bachelor's degree
80,Male,Ontario,No high school diploma
67,Female,Nova Scotia,Associate degree
66,Male,Saskatchewan,Associate degree
61,Female,British Columbia,Associate degree
71,Female,Ontario,High school diploma
40,Male,Ontario,Associate degree
26,Female,Ontario,Associate degree
57,Male,Alberta,Associate degree
35,Male,Saskatchewan,High school diploma
63,Male,Alberta,Associate degree
38,Female,Prince Edward Island,Bachelor's degree
75,Male,Prince Edward Island,No high school diploma
63,Male,Quebec,High school diploma
65,Male,Ontario,Bachelor's degree
19,Female,Alberta,High school diploma
72,Female,New Brunswick,High school diploma
27,Male,Newfoundland and Labrador,Bachelor's degree
45,Male,Ontario,Associate degree
62,Female,Quebec,Associate degree
28,Female,Quebec,Master's degree
56,Female,Saskatchewan,High school diploma
58,Female,Manitoba,High school diploma
60,Female,Alberta,High school diploma
66,Male,Nova Scotia,High school diploma
62,Male,Ontario,No high school diploma
32,Male,Newfoundland and Labrador,Associate degree
39,Male,Quebec,High school diploma
56,Female,British Columbia,High school diploma
34,Male,Manitoba,Master's degree
47,Female,Nova Scotia,High school diploma
22,Male,Ontario,Associate degree
65,Male,British Columbia,High school diploma
22,Female,Manitoba,No high school diploma
49,Female,Alberta,High school diploma
22,Male,Nova Scotia,High school diploma
65,Male,New Brunswick,Bachelor's degree
34,Female,Quebec,Bachelor's degree
50,Male,British Columbia,Bachelor's degree
37,Male,Alberta,Master's degree
80,Female,British Columbia,Associate degree
61,Female,Quebec,High school diploma
59,Male,Saskatchewan,Bachelor's degree
41,Female,Newfoundland and Labrador,Associate degree
65,Male,Ontario,Associate degree
17,Male,Ontario,No high school diploma
80,Female,Saskatchewan,Associate degree
76,Male,British Columbia,High school diploma
35,Female,British Columbia,High school diploma
66,Male,Ontario,High school diploma
26,Female,Quebec,No high school diploma
55,Female,New Brunswick,High school diploma
16,Male,Alberta,No high school diploma
57,Male,Nova Scotia,High school diploma
44,Male,New Brunswick,High school diploma
61,Female,Ontario,Associate degree
27,Male,Quebec,Bachelor's degree
16,Male,Manitoba,No high school diploma
71,Female,New Brunswick,No high school diploma
68,Male,Quebec,High school diploma
80,Male,Manitoba,Associate degree
55,Male,Ontario,Associate degree
54,Female,Ontario,High school diploma
69,Male,British Columbia,High school diploma
41,Male,Nova Scotia,Bachelor's degree
80,Male,Saskatchewan,Bachelor's degree
61,Male,Ontario,Bachelor's degree
31,Female,Ontario,Bachelor's degree
77,Female,Alberta,No high school diploma
62,Female,Quebec,Associate degree
54,Female,Nova Scotia,High school diploma
80,Female,Quebec,Associate degree
71,Female,Ontario,High school diploma
59,Male,Saskatchewan,Associate degree
41,Female,British Columbia,Master's degree
78,Male,Ontario,No high school diploma
67,Female,New Brunswick,Associate degree
74,Female,Quebec,No high school diploma
77,Male,Quebec,Master's degree
53,Female,British Columbia,Associate degree
61,Female,Quebec,Master's degree
39,Male,Alberta,Bachelor's degree
48,Male,Quebec,Associate degree
40,Male,Quebec,Bachelor's degree
29,Male,Ontario,Associate degree
18,Male,British Columbia,No high school diploma
74,Male,Ontario,Master's degree
44,Male,British Columbia,High school diploma
26,Male,Alberta,High school diploma
61,Female,Quebec,Associate degree
51,Male,Ontario,Master's degree
31,Male,Alberta,Associate degree
80,Female,Quebec,High school diploma
70,Female,Quebec,No high school diploma
63,Male,British Columbia,Associate degree
26,Female,Quebec,Associate degree
58,Male,New Brunswick,No high school diploma
34,Male,Alberta,Master's degree
39,Male,Alberta,Associate degree
39,Male,Alberta,Associate degree
43,Female,Ontario,Master's degree
52,Male,Ontario,High school diploma
20,Female,Alberta,High school diploma
58,Male,Ontario,Associate degree
61,Male,Ontario,Associate degree
57,Female,Ontario,No high school diploma
69,Male,Manitoba,Bachelor's degree
62,Male,New Brunswick,Associate degree
48,Female,New Brunswick,Bachelor's degree
59,Female,Nova Scotia,Associate degree
40,Male,Ontario,Associate degree
44,Male,British Columbia,Associate degree
72,Female,Quebec,No high school diploma
24,Female,Ontario,Bachelor's degree
40,Female,Ontario,Bachelor's degree
46,Male,New Brunswick,High school diploma
37,Male,Nova Scotia,Bachelor's degree
48,Female,Quebec,Bachelor's degree
40,Female,Alberta,High school diploma
32,Female,British Columbia,Associate degree
48,Male,Ontario,High school diploma
58,Male,Quebec,Master's degree
79,Female,Ontario,No high school diploma
21,Male,Ontario,Associate degree
61,Male,Ontario,High school diploma
53,Male,Ontario,Bachelor's degree
38,Male,Ontario,Bachelor's degree
76,Male,Nova Scotia,High school diploma
72,Female,Manitoba,No high school diploma
70,Female,Ontario,Associate degree
69,Female,Saskatchewan,Associate degree
51,Male,Prince Edward Island,High school diploma
37,Male,British Columbia,High school diploma
36,Male,Quebec,Master's degree
79,Female,Ontario,Associate degree
27,Female,Ontario,Associate degree
80,Female,Newfoundland and Labrador,Associate degree
24,Male,Quebec,No high school diploma
61,Female,British Columbia,Bachelor's degree
56,Male,Alberta,Associate degree
40,Female,British Columbia,Bachelor's degree
55,Female,Quebec,Master's degree
59,Female,Quebec,High school diploma
38,Female,Alberta,Associate degree
61,Male,Prince Edward Island,Associate degree
62,Male,Ontario,Associate degree
32,Male,Alberta,Master's degree
40,Male,British Columbia,Associate degree
73,Male,Newfoundland and Labrador,Associate degree
30,Female,Manitoba,Associate degree
19,Female,Manitoba,High school diploma
62,Female,British Columbia,Bachelor's degree
28,Female,Quebec,No high school diploma
46,Female,Ontario,Bachelor's degree
36,Male,Ontario,Associate degree
22,Male,Ontario,High school diploma
80,Male,Ontario,No high school diploma
47,Male,Ontario,Master's degree
63,Female,Ontario,Associate degree
56,Male,Quebec,High school diploma
37,Female,Ontario,Bachelor's degree
23,Male,Ontario,High school diploma
50,Male,Ontario,Master's degree
36,Female,Quebec,No high school diploma
56,Male,Alberta,Master's degree
60,Male,Quebec,Master's degree
69,Male,Quebec,High school diploma
65,Female,Ontario,High school diploma
20,Female,Ontario,High school diploma
37,Male,Manitoba,Bachelor's degree
80,Female,Alberta,High school diploma
49,Male,Alberta,Master's degree
57,Male,New Brunswick,Associate degree
50,Female,Nova Scotia,Associate degree
67,Male,Quebec,No high school diploma
76,Male,British Columbia,Master's degree
57,Male,Manitoba,No high school diploma
78,Male,Quebec,Associate degree
61,Female,Quebec,Associate degree
72,Female,Ontario,Associate degree
37,Female,Quebec,High school diploma
80,Female,Ontario,No high school diploma
51,Male,Ontario,High school diploma
68,Male,Quebec,Associate degree
67,Female,New Brunswick,Associate degree
28,Female,British Columbia,Associate degree
26,Female,British Columbia,Bachelor's degree
60,Female,New Brunswick,Associate degree
31,Female,Quebec,Associate degree
46,Female,British Columbia,Associate degree
36,Male,Ontario,Associate degree
51,Male,New Brunswick,Master's degree
57,Female,Ontario,Bachelor's degree
43,Female,Ontario,Associate degree
19,Male,Alberta,High school diploma
51,Female,Quebec,Associate degree
48,Female,Nova Scotia,No high school diploma
55,Female,Prince Edward Island,Master's degree
63,Male,Ontario,Associate degree
31,Female,Quebec,Master's degree
43,Female,British Columbia,Bachelor's degree
57,Female,Saskatchewan,Associate degree
68,Male,New Brunswick,No high school diploma
76,Male,British Columbia,Associate degree
20,Male,Ontario,High school diploma
56,Female,New Brunswick,High school diploma
44,Female,Ontario,Associate degree
36,Female,New Brunswick,Associate degree
41,Male,Quebec,High school diploma
68,Female,Ontario,High school diploma
28,Male,Quebec,Associate degree
40,Male,Nova Scotia,Master's degree
64,Male,Quebec,Associate degree
51,Female,Alberta,Associate degree
75,Male,British Columbia,High school diploma
80,Female,Saskatchewan,No high school diploma
28,Male,Quebec,High school diploma
59,Female,Prince Edward Island,Associate degree
51,Female,Newfoundland and Labrador,Associate degree
80,Female,Quebec,High school diploma
80,Female,Ontario,No high school diploma
48,Female,British Columbia,Associate degree
52,Female,British Columbia,Associate degree
53,Male,Newfoundland and Labrador,High school diploma
58,Female,Ontario,Associate degree
35,Female,Alberta,Associate degree
37,Female,Ontario,Associate degree
69,Male,British Columbia,Bachelor's degree
58,Male,British Columbia,Master's degree
19,Male,Ontario,High school diploma
57,Male,Quebec,Bachelor's degree
59,Female,British Columbia,Associate degree
80,Male,Newfoundland and Labrador,No high school diploma
78,Female,Newfoundland and Labrador,Associate degree
58,Male,Ontario,High school diploma
59,Female,Nova Scotia,Master's degree
57,Female,Nova Scotia,Associate degree
18,Male,Ontario,High school diploma
62,Female,British Columbia,High school diploma
18,Male,British Columbia,No high school diploma
53,Female,Ontario,High school diploma
80,Female,Newfoundland and Labrador,Associate degree
65,Female,Prince Edward Island,High school diploma
54,Female,Quebec,Bachelor's degree
41,Male,Quebec,High school diploma
