age,sex,province,education,n
15,Female,Alberta,No high school diploma,3
15,Female,British Columbia,No high school diploma,5
15,Female,Manitoba,No high school diploma,7
15,Female,New Brunswick,No high school diploma,1
15,Female,Newfoundland and Labrador,No high school diploma,4
15,Female,Nova Scotia,No high school diploma,4
15,Female,Ontario,No high school diploma,19
15,Female,Prince Edward Island,No high school diploma,1
15,Female,Quebec,No high school diploma,8
15,Female,Saskatchewan,No high school diploma,2
15,Male,Alberta,No high school diploma,1
15,Male,British Columbia,No high school diploma,9
15,Male,Manitoba,No high school diploma,2
15,Male,New Brunswick,No high school diploma,4
15,Male,Nova Scotia,No high school diploma,5
15,Male,Ontario,No high school diploma,18
15,Male,Prince Edward Island,No high school diploma,3
15,Male,Quebec,No high school diploma,12
15,Male,Saskatchewan,No high school diploma,6
16,Female,Alberta,No high school diploma,7
16,Female,British Columbia,No high school diploma,8
16,Female,Manitoba,No high school diploma,3
16,Female,New Brunswick,No high school diploma,7
16,Female,Newfoundland and Labrador,No high school diploma,3
16,Female,Nova Scotia,No high school diploma,2
16,Female,Ontario,No high school diploma,20
16,Female,Prince Edward Island,No high school diploma,4
16,Female,Quebec,High school diploma,1
16,Female,Quebec,No high school diploma,16
16,Female,Saskatchewan,No high school diploma,5
16,Male,Alberta,No high school diploma,7
16,Male,British Columbia,Associate degree,1
16,Male,British Columbia,No high school diploma,9
16,Male,Manitoba,No high school diploma,1
16,Male,New Brunswick,No high school diploma,4
16,Male,Newfoundland and Labrador,No high school diploma,6
16,Male,Nova Scotia,No high school diploma,3
16,Male,Ontario,No high school diploma,23
16,Male,Prince Edward Island,No high school diploma,4
16,Male,Quebec,No high school diploma,15
16,Male,Saskatchewan,No high school diploma,5
17,Female,Alberta,High school diploma,2
17,Female,Alberta,No high school diploma,4
17,Female,British Columbia,High school diploma,2
17,Female,British Columbia,No high school diploma,5
17,Female,Manitoba,No high school diploma,7
17,Female,New Brunswick,No high school diploma,5
17,Female,Newfoundland and Labrador,No high school diploma,3
17,Female,Nova Scotia,No high school diploma,3
17,Female,Ontario,High school diploma,6
17,Female,Ontario,No high school diploma,23
17,Female,Prince Edward Island,No high school diploma,2
17,Female,Quebec,High school diploma,11
17,Female,Quebec,No high school diploma,3
17,Female,Saskatchewan,High school diploma,1
17,Female,Saskatchewan,No high school diploma,2
17,Male,Alberta,No high school diploma,5
17,Male,British Columbia,No high school diploma,7
